date,state,fips,cases,deaths,d_cases,d_deaths
2020-02-07,Illinois,17,2,0,0.0,0.0
2020-02-07,Massachusetts,25,1,0,0.0,0.0
2020-02-07,Washington,53,1,0,0.0,0.0
2020-02-07,Wisconsin,55,1,0,0.0,0.0
2020-02-08,Arizona,4,1,0,0.0,0.0
2020-02-08,California,6,6,0,0.0,0.0
2020-02-08,Illinois,17,2,0,0.0,0.0
2020-02-08,Massachusetts,25,1,0,0.0,0.0
2020-02-08,Washington,53,1,0,0.0,0.0
2020-02-08,Wisconsin,55,1,0,0.0,0.0
2020-02-09,Arizona,4,1,0,0.0,0.0
2020-02-09,California,6,6,0,0.0,0.0
2020-02-09,Illinois,17,2,0,0.0,0.0
2020-02-09,Massachusetts,25,1,0,0.0,0.0
2020-02-09,Washington,53,1,0,0.0,0.0
2020-02-09,Wisconsin,55,1,0,0.0,0.0
2020-02-10,Arizona,4,1,0,0.0,0.0
2020-02-10,California,6,7,0,1.0,0.0
2020-02-10,Illinois,17,2,0,0.0,0.0
2020-02-10,Massachusetts,25,1,0,0.0,0.0
2020-02-10,Washington,53,1,0,0.0,0.0
2020-02-10,Wisconsin,55,1,0,0.0,0.0
2020-02-11,Arizona,4,1,0,0.0,0.0
2020-02-11,California,6,7,0,0.0,0.0
2020-02-11,Illinois,17,2,0,0.0,0.0
2020-02-11,Massachusetts,25,1,0,0.0,0.0
2020-02-11,Washington,53,1,0,0.0,0.0
2020-02-11,Wisconsin,55,1,0,0.0,0.0
2020-02-12,Arizona,4,1,0,0.0,0.0
2020-02-12,California,6,7,0,0.0,0.0
2020-02-12,Illinois,17,2,0,0.0,0.0
2020-02-12,Massachusetts,25,1,0,0.0,0.0
2020-02-12,Texas,48,1,0,1.0,0.0
2020-02-12,Washington,53,1,0,0.0,0.0
2020-02-12,Wisconsin,55,1,0,0.0,0.0
2020-02-13,Arizona,4,1,0,0.0,0.0
2020-02-13,California,6,7,0,0.0,0.0
2020-02-13,Illinois,17,2,0,0.0,0.0
2020-02-13,Massachusetts,25,1,0,0.0,0.0
2020-02-13,Texas,48,2,0,1.0,0.0
2020-02-13,Washington,53,1,0,0.0,0.0
2020-02-13,Wisconsin,55,1,0,0.0,0.0
2020-02-14,Arizona,4,1,0,0.0,0.0
2020-02-14,California,6,7,0,0.0,0.0
2020-02-14,Illinois,17,2,0,0.0,0.0
2020-02-14,Massachusetts,25,1,0,0.0,0.0
2020-02-14,Texas,48,2,0,0.0,0.0
2020-02-14,Washington,53,1,0,0.0,0.0
2020-02-14,Wisconsin,55,1,0,0.0,0.0
2020-02-15,Arizona,4,1,0,0.0,0.0
2020-02-15,California,6,7,0,0.0,0.0
2020-02-15,Illinois,17,2,0,0.0,0.0
2020-02-15,Massachusetts,25,1,0,0.0,0.0
2020-02-15,Texas,48,2,0,0.0,0.0
2020-02-15,Washington,53,1,0,0.0,0.0
2020-02-15,Wisconsin,55,1,0,0.0,0.0
2020-02-16,Arizona,4,1,0,0.0,0.0
2020-02-16,California,6,7,0,0.0,0.0
2020-02-16,Illinois,17,2,0,0.0,0.0
2020-02-16,Massachusetts,25,1,0,0.0,0.0
2020-02-16,Texas,48,2,0,0.0,0.0
2020-02-16,Washington,53,1,0,0.0,0.0
2020-02-16,Wisconsin,55,1,0,0.0,0.0
2020-02-17,Arizona,4,1,0,0.0,0.0
2020-02-17,California,6,7,0,0.0,0.0
2020-02-17,Illinois,17,2,0,0.0,0.0
2020-02-17,Massachusetts,25,1,0,0.0,0.0
2020-02-17,Nebraska,31,10,0,10.0,0.0
2020-02-17,Texas,48,2,0,0.0,0.0
2020-02-17,Washington,53,1,0,0.0,0.0
2020-02-17,Wisconsin,55,1,0,0.0,0.0
2020-02-18,Arizona,4,1,0,0.0,0.0
2020-02-18,California,6,7,0,0.0,0.0
2020-02-18,Illinois,17,2,0,0.0,0.0
2020-02-18,Massachusetts,25,1,0,0.0,0.0
2020-02-18,Nebraska,31,10,0,0.0,0.0
2020-02-18,Texas,48,2,0,0.0,0.0
2020-02-18,Washington,53,1,0,0.0,0.0
2020-02-18,Wisconsin,55,1,0,0.0,0.0
2020-02-19,Arizona,4,1,0,0.0,0.0
2020-02-19,California,6,7,0,0.0,0.0
2020-02-19,Illinois,17,2,0,0.0,0.0
2020-02-19,Massachusetts,25,1,0,0.0,0.0
2020-02-19,Nebraska,31,10,0,0.0,0.0
2020-02-19,Texas,48,2,0,0.0,0.0
2020-02-19,Washington,53,1,0,0.0,0.0
2020-02-19,Wisconsin,55,1,0,0.0,0.0
2020-02-20,Arizona,4,1,0,0.0,0.0
2020-02-20,California,6,8,0,1.0,0.0
2020-02-20,Illinois,17,2,0,0.0,0.0
2020-02-20,Massachusetts,25,1,0,0.0,0.0
2020-02-20,Nebraska,31,11,0,1.0,0.0
2020-02-20,Texas,48,2,0,0.0,0.0
2020-02-20,Washington,53,1,0,0.0,0.0
2020-02-20,Wisconsin,55,1,0,0.0,0.0
2020-02-21,Arizona,4,1,0,0.0,0.0
2020-02-21,California,6,9,0,1.0,0.0
2020-02-21,Illinois,17,2,0,0.0,0.0
2020-02-21,Massachusetts,25,1,0,0.0,0.0
2020-02-21,Nebraska,31,11,0,0.0,0.0
2020-02-21,Texas,48,4,0,2.0,0.0
2020-02-21,Washington,53,1,0,0.0,0.0
2020-02-21,Wisconsin,55,1,0,0.0,0.0
2020-02-22,Arizona,4,1,0,0.0,0.0
2020-02-22,California,6,9,0,0.0,0.0
2020-02-22,Illinois,17,2,0,0.0,0.0
2020-02-22,Massachusetts,25,1,0,0.0,0.0
2020-02-22,Nebraska,31,11,0,0.0,0.0
2020-02-22,Texas,48,4,0,0.0,0.0
2020-02-22,Washington,53,1,0,0.0,0.0
2020-02-22,Wisconsin,55,1,0,0.0,0.0
2020-02-23,Arizona,4,1,0,0.0,0.0
2020-02-23,California,6,9,0,0.0,0.0
2020-02-23,Illinois,17,2,0,0.0,0.0
2020-02-23,Massachusetts,25,1,0,0.0,0.0
2020-02-23,Nebraska,31,11,0,0.0,0.0
2020-02-23,Texas,48,4,0,0.0,0.0
2020-02-23,Washington,53,1,0,0.0,0.0
2020-02-23,Wisconsin,55,1,0,0.0,0.0
2020-02-24,Arizona,4,1,0,0.0,0.0
2020-02-24,California,6,11,0,2.0,0.0
2020-02-24,Illinois,17,2,0,0.0,0.0
2020-02-24,Massachusetts,25,1,0,0.0,0.0
2020-02-24,Nebraska,31,12,0,1.0,0.0
2020-02-24,Texas,48,10,0,6.0,0.0
2020-02-24,Washington,53,5,0,4.0,0.0
2020-02-24,Wisconsin,55,1,0,0.0,0.0
2020-02-25,Arizona,4,1,0,0.0,0.0
2020-02-25,California,6,11,0,0.0,0.0
2020-02-25,Illinois,17,2,0,0.0,0.0
2020-02-25,Massachusetts,25,1,0,0.0,0.0
2020-02-25,Nebraska,31,13,0,1.0,0.0
2020-02-25,Texas,48,10,0,0.0,0.0
2020-02-25,Utah,49,1,0,1.0,0.0
2020-02-25,Washington,53,5,0,0.0,0.0
2020-02-25,Wisconsin,55,1,0,0.0,0.0
2020-02-26,Arizona,4,1,0,0.0,0.0
2020-02-26,California,6,26,0,15.0,0.0
2020-02-26,Illinois,17,2,0,0.0,0.0
2020-02-26,Massachusetts,25,1,0,0.0,0.0
2020-02-26,Nebraska,31,13,0,0.0,0.0
2020-02-26,Texas,48,10,0,0.0,0.0
2020-02-26,Utah,49,1,0,0.0,0.0
2020-02-26,Washington,53,5,0,0.0,0.0
2020-02-26,Wisconsin,55,1,0,0.0,0.0
2020-02-27,Arizona,4,1,0,0.0,0.0
2020-02-27,California,6,26,0,0.0,0.0
2020-02-27,Illinois,17,2,0,0.0,0.0
2020-02-27,Massachusetts,25,1,0,0.0,0.0
2020-02-27,Nebraska,31,13,0,0.0,0.0
2020-02-27,Texas,48,10,0,0.0,0.0
2020-02-27,Utah,49,1,0,0.0,0.0
2020-02-27,Washington,53,5,0,0.0,0.0
2020-02-27,Wisconsin,55,1,0,0.0,0.0
2020-02-28,Arizona,4,1,0,0.0,0.0
2020-02-28,California,6,27,0,1.0,0.0
2020-02-28,Illinois,17,2,0,0.0,0.0
2020-02-28,Massachusetts,25,1,0,0.0,0.0
2020-02-28,Nebraska,31,13,0,0.0,0.0
2020-02-28,Oregon,41,1,0,1.0,0.0
2020-02-28,Texas,48,11,0,1.0,0.0
2020-02-28,Utah,49,1,0,0.0,0.0
2020-02-28,Washington,53,7,0,2.0,0.0
2020-02-28,Wisconsin,55,1,0,0.0,0.0
2020-02-29,Arizona,4,1,0,0.0,0.0
2020-02-29,California,6,28,0,1.0,0.0
2020-02-29,Illinois,17,3,0,1.0,0.0
2020-02-29,Massachusetts,25,1,0,0.0,0.0
2020-02-29,Nebraska,31,13,0,0.0,0.0
2020-02-29,Oregon,41,1,0,0.0,0.0
2020-02-29,Texas,48,11,0,0.0,0.0
2020-02-29,Utah,49,1,0,0.0,0.0
2020-02-29,Washington,53,10,1,3.0,1.0
2020-02-29,Wisconsin,55,1,0,0.0,0.0
2020-03-01,Arizona,4,1,0,0.0,0.0
2020-03-01,California,6,33,0,5.0,0.0
2020-03-01,Florida,12,2,0,2.0,0.0
2020-03-01,Illinois,17,3,0,0.0,0.0
2020-03-01,Massachusetts,25,1,0,0.0,0.0
2020-03-01,Nebraska,31,13,0,0.0,0.0
2020-03-01,New York,36,1,0,1.0,0.0
2020-03-01,Oregon,41,2,0,1.0,0.0
2020-03-01,Rhode Island,44,2,0,2.0,0.0
2020-03-01,Texas,48,11,0,0.0,0.0
2020-03-01,Utah,49,1,0,0.0,0.0
2020-03-01,Washington,53,17,3,7.0,2.0
2020-03-01,Wisconsin,55,1,0,0.0,0.0
2020-03-02,Arizona,4,1,0,0.0,0.0
2020-03-02,California,6,38,0,5.0,0.0
2020-03-02,Florida,12,2,0,0.0,0.0
2020-03-02,Georgia,13,2,0,2.0,0.0
2020-03-02,Illinois,17,4,0,1.0,0.0
2020-03-02,Massachusetts,25,2,0,1.0,0.0
2020-03-02,Nebraska,31,13,0,0.0,0.0
2020-03-02,New Hampshire,33,1,0,1.0,0.0
2020-03-02,New York,36,1,0,0.0,0.0
2020-03-02,Oregon,41,2,0,0.0,0.0
2020-03-02,Rhode Island,44,2,0,0.0,0.0
2020-03-02,Texas,48,11,0,0.0,0.0
2020-03-02,Utah,49,1,0,0.0,0.0
2020-03-02,Washington,53,23,6,6.0,3.0
2020-03-02,Wisconsin,55,1,0,0.0,0.0
2020-03-03,Arizona,4,2,0,1.0,0.0
2020-03-03,California,6,45,0,7.0,0.0
2020-03-03,Florida,12,3,0,1.0,0.0
2020-03-03,Georgia,13,2,0,0.0,0.0
2020-03-03,Illinois,17,4,0,0.0,0.0
2020-03-03,Massachusetts,25,2,0,0.0,0.0
2020-03-03,Nebraska,31,13,0,0.0,0.0
2020-03-03,New Hampshire,33,2,0,1.0,0.0
2020-03-03,New York,36,2,0,1.0,0.0
2020-03-03,North Carolina,37,1,0,1.0,0.0
2020-03-03,Oregon,41,2,0,0.0,0.0
2020-03-03,Rhode Island,44,2,0,0.0,0.0
2020-03-03,Texas,48,11,0,0.0,0.0
2020-03-03,Utah,49,1,0,0.0,0.0
2020-03-03,Washington,53,32,10,9.0,4.0
2020-03-03,Wisconsin,55,1,0,0.0,0.0
2020-03-04,Arizona,4,2,0,0.0,0.0
2020-03-04,California,6,55,1,10.0,1.0
2020-03-04,Florida,12,3,0,0.0,0.0
2020-03-04,Georgia,13,2,0,0.0,0.0
2020-03-04,Illinois,17,4,0,0.0,0.0
2020-03-04,Massachusetts,25,2,0,0.0,0.0
2020-03-04,Nebraska,31,13,0,0.0,0.0
2020-03-04,New Hampshire,33,2,0,0.0,0.0
2020-03-04,New Jersey,34,1,0,1.0,0.0
2020-03-04,New York,36,11,0,9.0,0.0
2020-03-04,North Carolina,37,1,0,0.0,0.0
2020-03-04,Oregon,41,2,0,0.0,0.0
2020-03-04,Rhode Island,44,2,0,0.0,0.0
2020-03-04,Texas,48,12,0,1.0,0.0
2020-03-04,Utah,49,1,0,0.0,0.0
2020-03-04,Washington,53,47,11,15.0,1.0
2020-03-04,Wisconsin,55,1,0,0.0,0.0
2020-03-05,Arizona,4,2,0,0.0,0.0
2020-03-05,California,6,67,1,12.0,0.0
2020-03-05,Colorado,8,2,0,2.0,0.0
2020-03-05,Florida,12,4,0,1.0,0.0
2020-03-05,Georgia,13,2,0,0.0,0.0
2020-03-05,Illinois,17,5,0,1.0,0.0
2020-03-05,Maryland,24,3,0,3.0,0.0
2020-03-05,Massachusetts,25,3,0,1.0,0.0
2020-03-05,Nebraska,31,13,0,0.0,0.0
2020-03-05,Nevada,32,2,0,2.0,0.0
2020-03-05,New Hampshire,33,2,0,0.0,0.0
2020-03-05,New Jersey,34,2,0,1.0,0.0
2020-03-05,New York,36,22,0,11.0,0.0
2020-03-05,North Carolina,37,1,0,0.0,0.0
2020-03-05,Oregon,41,2,0,0.0,0.0
2020-03-05,Rhode Island,44,2,0,0.0,0.0
2020-03-05,Tennessee,47,1,0,1.0,0.0
2020-03-05,Texas,48,16,0,4.0,0.0
2020-03-05,Utah,49,1,0,0.0,0.0
2020-03-05,Washington,53,75,11,28.0,0.0
2020-03-05,Wisconsin,55,1,0,0.0,0.0
2020-03-06,Arizona,4,3,0,1.0,0.0
2020-03-06,California,6,81,1,14.0,0.0
2020-03-06,Colorado,8,8,0,6.0,0.0
2020-03-06,Florida,12,7,2,3.0,2.0
2020-03-06,Georgia,13,3,0,1.0,0.0
2020-03-06,Hawaii,15,1,0,1.0,0.0
2020-03-06,Illinois,17,6,0,1.0,0.0
2020-03-06,Indiana,18,1,0,1.0,0.0
2020-03-06,Kentucky,21,1,0,1.0,0.0
2020-03-06,Maryland,24,3,0,0.0,0.0
2020-03-06,Massachusetts,25,8,0,5.0,0.0
2020-03-06,Minnesota,27,1,0,1.0,0.0
2020-03-06,Nebraska,31,14,0,1.0,0.0
2020-03-06,Nevada,32,2,0,0.0,0.0
2020-03-06,New Hampshire,33,2,0,0.0,0.0
2020-03-06,New Jersey,34,4,0,2.0,0.0
2020-03-06,New York,36,44,0,22.0,0.0
2020-03-06,North Carolina,37,2,0,1.0,0.0
2020-03-06,Oklahoma,40,1,0,1.0,0.0
2020-03-06,Oregon,41,2,0,0.0,0.0
2020-03-06,Pennsylvania,42,2,0,2.0,0.0
2020-03-06,Rhode Island,44,3,0,1.0,0.0
2020-03-06,South Carolina,45,2,0,2.0,0.0
2020-03-06,Tennessee,47,1,0,0.0,0.0
2020-03-06,Texas,48,19,0,3.0,0.0
2020-03-06,Utah,49,3,0,2.0,0.0
2020-03-06,Washington,53,86,12,11.0,1.0
2020-03-06,Wisconsin,55,1,0,0.0,0.0
2020-03-07,Arizona,4,5,0,2.0,0.0
2020-03-07,California,6,100,1,19.0,0.0
2020-03-07,Colorado,8,8,0,0.0,0.0
2020-03-07,District of Columbia,11,1,0,1.0,0.0
2020-03-07,Florida,12,12,2,5.0,0.0
2020-03-07,Georgia,13,7,0,4.0,0.0
2020-03-07,Hawaii,15,1,0,0.0,0.0
2020-03-07,Illinois,17,6,0,0.0,0.0
2020-03-07,Indiana,18,1,0,0.0,0.0
2020-03-07,Kansas,20,1,0,1.0,0.0
2020-03-07,Kentucky,21,1,0,0.0,0.0
2020-03-07,Maryland,24,3,0,0.0,0.0
2020-03-07,Massachusetts,25,13,0,5.0,0.0
2020-03-07,Minnesota,27,1,0,0.0,0.0
2020-03-07,Missouri,29,1,0,1.0,0.0
2020-03-07,Nebraska,31,14,0,0.0,0.0
2020-03-07,Nevada,32,2,0,0.0,0.0
2020-03-07,New Hampshire,33,4,0,2.0,0.0
2020-03-07,New Jersey,34,4,0,0.0,0.0
2020-03-07,New York,36,89,0,45.0,0.0
2020-03-07,North Carolina,37,2,0,0.0,0.0
2020-03-07,Oklahoma,40,1,0,0.0,0.0
2020-03-07,Oregon,41,6,0,4.0,0.0
2020-03-07,Pennsylvania,42,4,0,2.0,0.0
2020-03-07,Rhode Island,44,3,0,0.0,0.0
2020-03-07,South Carolina,45,2,0,0.0,0.0
2020-03-07,Tennessee,47,1,0,0.0,0.0
2020-03-07,Texas,48,19,0,0.0,0.0
2020-03-07,Utah,49,3,0,0.0,0.0
2020-03-07,Vermont,50,1,0,1.0,0.0
2020-03-07,Virginia,51,1,0,1.0,0.0
2020-03-07,Washington,53,110,16,24.0,4.0
2020-03-07,Wisconsin,55,1,0,0.0,0.0
2020-03-08,Arizona,4,5,0,0.0,0.0
2020-03-08,California,6,112,1,12.0,0.0
2020-03-08,Colorado,8,8,0,0.0,0.0
2020-03-08,Connecticut,9,1,0,1.0,0.0
2020-03-08,District of Columbia,11,1,0,0.0,0.0
2020-03-08,Florida,12,13,2,1.0,0.0
2020-03-08,Georgia,13,11,0,4.0,0.0
2020-03-08,Hawaii,15,2,0,1.0,0.0
2020-03-08,Illinois,17,7,0,1.0,0.0
2020-03-08,Indiana,18,2,0,1.0,0.0
2020-03-08,Iowa,19,3,0,3.0,0.0
2020-03-08,Kansas,20,1,0,0.0,0.0
2020-03-08,Kentucky,21,4,0,3.0,0.0
2020-03-08,Maryland,24,5,0,2.0,0.0
2020-03-08,Massachusetts,25,28,0,15.0,0.0
2020-03-08,Minnesota,27,2,0,1.0,0.0
2020-03-08,Missouri,29,1,0,0.0,0.0
2020-03-08,Nebraska,31,16,0,2.0,0.0
2020-03-08,Nevada,32,4,0,2.0,0.0
2020-03-08,New Hampshire,33,4,0,0.0,0.0
2020-03-08,New Jersey,34,6,0,2.0,0.0
2020-03-08,New York,36,106,0,17.0,0.0
2020-03-08,North Carolina,37,2,0,0.0,0.0
2020-03-08,Oklahoma,40,1,0,0.0,0.0
2020-03-08,Oregon,41,13,0,7.0,0.0
2020-03-08,Pennsylvania,42,6,0,2.0,0.0
2020-03-08,Rhode Island,44,3,0,0.0,0.0
2020-03-08,South Carolina,45,6,0,4.0,0.0
2020-03-08,Tennessee,47,3,0,2.0,0.0
2020-03-08,Texas,48,23,0,4.0,0.0
2020-03-08,Utah,49,3,0,0.0,0.0
2020-03-08,Vermont,50,1,0,0.0,0.0
2020-03-08,Virginia,51,2,0,1.0,0.0
2020-03-08,Washington,53,141,19,31.0,3.0
2020-03-08,Wisconsin,55,1,0,0.0,0.0
2020-03-09,Arizona,4,6,0,1.0,0.0
2020-03-09,California,6,172,2,60.0,1.0
2020-03-09,Colorado,8,12,0,4.0,0.0
2020-03-09,Connecticut,9,2,0,1.0,0.0
2020-03-09,District of Columbia,11,4,0,3.0,0.0
2020-03-09,Florida,12,14,2,1.0,0.0
2020-03-09,Georgia,13,17,0,6.0,0.0
2020-03-09,Hawaii,15,2,0,0.0,0.0
2020-03-09,Illinois,17,11,0,4.0,0.0
2020-03-09,Indiana,18,4,0,2.0,0.0
2020-03-09,Iowa,19,8,0,5.0,0.0
2020-03-09,Kansas,20,1,0,0.0,0.0
2020-03-09,Kentucky,21,5,0,1.0,0.0
2020-03-09,Louisiana,22,1,0,1.0,0.0
2020-03-09,Maryland,24,6,0,1.0,0.0
2020-03-09,Massachusetts,25,41,0,13.0,0.0
2020-03-09,Minnesota,27,2,0,0.0,0.0
2020-03-09,Missouri,29,1,0,0.0,0.0
2020-03-09,Nebraska,31,16,0,0.0,0.0
2020-03-09,Nevada,32,4,0,0.0,0.0
2020-03-09,New Hampshire,33,4,0,0.0,0.0
2020-03-09,New Jersey,34,11,0,5.0,0.0
2020-03-09,New York,36,142,0,36.0,0.0
2020-03-09,North Carolina,37,7,0,5.0,0.0
2020-03-09,Ohio,39,3,0,3.0,0.0
2020-03-09,Oklahoma,40,1,0,0.0,0.0
2020-03-09,Oregon,41,13,0,0.0,0.0
2020-03-09,Pennsylvania,42,10,0,4.0,0.0
2020-03-09,Rhode Island,44,3,0,0.0,0.0
2020-03-09,South Carolina,45,7,0,1.0,0.0
2020-03-09,Tennessee,47,4,0,1.0,0.0
2020-03-09,Texas,48,24,0,1.0,0.0
2020-03-09,Utah,49,3,0,0.0,0.0
2020-03-09,Vermont,50,1,0,0.0,0.0
2020-03-09,Virginia,51,5,0,3.0,0.0
2020-03-09,Washington,53,179,22,38.0,3.0
2020-03-09,Wisconsin,55,2,0,1.0,0.0
2020-03-10,Arizona,4,6,0,0.0,0.0
2020-03-10,California,6,179,3,7.0,1.0
2020-03-10,Colorado,8,17,0,5.0,0.0
2020-03-10,Connecticut,9,2,0,0.0,0.0
2020-03-10,District of Columbia,11,4,0,0.0,0.0
2020-03-10,Florida,12,23,2,9.0,0.0
2020-03-10,Georgia,13,22,0,5.0,0.0
2020-03-10,Hawaii,15,2,0,0.0,0.0
2020-03-10,Illinois,17,19,0,8.0,0.0
2020-03-10,Indiana,18,6,0,2.0,0.0
2020-03-10,Iowa,19,13,0,5.0,0.0
2020-03-10,Kansas,20,1,0,0.0,0.0
2020-03-10,Kentucky,21,7,0,2.0,0.0
2020-03-10,Louisiana,22,6,0,5.0,0.0
2020-03-10,Maryland,24,9,0,3.0,0.0
2020-03-10,Massachusetts,25,92,0,51.0,0.0
2020-03-10,Michigan,26,2,0,2.0,0.0
2020-03-10,Minnesota,27,3,0,1.0,0.0
2020-03-10,Missouri,29,1,0,0.0,0.0
2020-03-10,Nebraska,31,17,0,1.0,0.0
2020-03-10,Nevada,32,4,0,0.0,0.0
2020-03-10,New Hampshire,33,5,0,1.0,0.0
2020-03-10,New Jersey,34,15,1,4.0,1.0
2020-03-10,New York,36,173,0,31.0,0.0
2020-03-10,North Carolina,37,7,0,0.0,0.0
2020-03-10,Ohio,39,3,0,0.0,0.0
2020-03-10,Oklahoma,40,2,0,1.0,0.0
2020-03-10,Oregon,41,14,0,1.0,0.0
2020-03-10,Pennsylvania,42,12,0,2.0,0.0
2020-03-10,Rhode Island,44,5,0,2.0,0.0
2020-03-10,South Carolina,45,9,0,2.0,0.0
2020-03-10,South Dakota,46,5,1,5.0,1.0
2020-03-10,Tennessee,47,7,0,3.0,0.0
2020-03-10,Texas,48,31,0,7.0,0.0
2020-03-10,Utah,49,4,0,1.0,0.0
2020-03-10,Vermont,50,1,0,0.0,0.0
2020-03-10,Virginia,51,8,0,3.0,0.0
2020-03-10,Washington,53,279,24,100.0,2.0
2020-03-10,Wisconsin,55,3,0,1.0,0.0
2020-03-11,Arizona,4,9,0,3.0,0.0
2020-03-11,Arkansas,5,1,0,1.0,0.0
2020-03-11,California,6,202,4,23.0,1.0
2020-03-11,Colorado,8,34,0,17.0,0.0
2020-03-11,Connecticut,9,3,0,1.0,0.0
2020-03-11,Delaware,10,1,0,1.0,0.0
2020-03-11,District of Columbia,11,10,0,6.0,0.0
2020-03-11,Florida,12,26,2,3.0,0.0
2020-03-11,Georgia,13,31,0,9.0,0.0
2020-03-11,Hawaii,15,2,0,0.0,0.0
2020-03-11,Illinois,17,25,0,6.0,0.0
2020-03-11,Indiana,18,11,0,5.0,0.0
2020-03-11,Iowa,19,14,0,1.0,0.0
2020-03-11,Kansas,20,1,0,0.0,0.0
2020-03-11,Kentucky,21,7,0,0.0,0.0
2020-03-11,Louisiana,22,13,0,7.0,0.0
2020-03-11,Maryland,24,13,0,4.0,0.0
2020-03-11,Massachusetts,25,95,0,3.0,0.0
2020-03-11,Michigan,26,2,0,0.0,0.0
2020-03-11,Minnesota,27,5,0,2.0,0.0
2020-03-11,Mississippi,28,1,0,1.0,0.0
2020-03-11,Missouri,29,1,0,0.0,0.0
2020-03-11,Nebraska,31,23,0,6.0,0.0
2020-03-11,Nevada,32,7,0,3.0,0.0
2020-03-11,New Hampshire,33,5,0,0.0,0.0
2020-03-11,New Jersey,34,23,1,8.0,0.0
2020-03-11,New Mexico,35,4,0,4.0,0.0
2020-03-11,New York,36,217,0,44.0,0.0
2020-03-11,North Carolina,37,8,0,1.0,0.0
2020-03-11,North Dakota,38,1,0,1.0,0.0
2020-03-11,Ohio,39,4,0,1.0,0.0
2020-03-11,Oklahoma,40,2,0,0.0,0.0
2020-03-11,Oregon,41,20,0,6.0,0.0
2020-03-11,Pennsylvania,42,16,0,4.0,0.0
2020-03-11,Rhode Island,44,5,0,0.0,0.0
2020-03-11,South Carolina,45,10,0,1.0,0.0
2020-03-11,South Dakota,46,8,1,3.0,0.0
2020-03-11,Tennessee,47,8,0,1.0,0.0
2020-03-11,Texas,48,33,0,2.0,0.0
2020-03-11,Utah,49,5,0,1.0,0.0
